epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
192,1376.35,1.07388,0.52957,0.89985,0.99462,1,0.995,0.61263,1.39631,0.54309,1.0028,0.00124364,0.00124364,0.00124364
193,1382.68,1.05799,0.51951,0.9254,0.99443,1,0.995,0.61373,1.4352,0.54193,1.01552,0.00123968,0.00123968,0.00123968
194,1388.59,1.12283,0.51283,0.9364,0.995,1,0.995,0.59245,1.5129,0.55379,1.03345,0.00123572,0.00123572,0.00123572
195,1393.86,1.06435,0.51488,0.90095,0.99532,1,0.995,0.61098,1.48726,0.55761,1.02891,0.00123176,0.00123176,0.00123176
196,1399.14,1.01698,0.48691,0.92765,0.99518,1,0.995,0.62078,1.53744,0.58363,1.05709,0.0012278,0.0012278,0.0012278
197,1404.99,1.04882,0.51781,0.90504,0.99535,1,0.995,0.61967,1.52648,0.57681,1.05775,0.00122384,0.00122384,0.00122384
198,1411.97,1.0471,0.51882,0.93291,0.99538,1,0.995,0.635,1.46106,0.54915,1.01974,0.00121988,0.00121988,0.00121988
199,1417.58,0.97567,0.50711,0.89429,0.99557,1,0.995,0.63838,1.50292,0.53758,1.02295,0.00121592,0.00121592,0.00121592
200,1422.93,0.99904,0.49444,0.90593,0.99539,1,0.995,0.60641,1.57968,0.58129,1.04207,0.00121196,0.00121196,0.00121196
201,1428.64,1.03361,0.48698,0.90612,0.99537,1,0.995,0.60411,1.60938,0.5907,1.04076,0.001208,0.001208,0.001208
202,1434.73,1.07918,0.53329,0.94965,0.99534,1,0.995,0.5888,1.59899,0.60642,1.02852,0.00120404,0.00120404,0.00120404
203,1441.69,1.06309,0.51003,0.93414,0.99478,1,0.995,0.52725,1.60997,0.56982,1.03188,0.00120008,0.00120008,0.00120008
204,1447.27,0.98765,0.50524,0.92288,0.99437,1,0.995,0.5319,1.6058,0.56683,1.03514,0.00119612,0.00119612,0.00119612
205,1453.63,1.07396,0.53245,0.91744,0.99448,1,0.995,0.53485,1.58306,0.56183,1.03265,0.00119216,0.00119216,0.00119216
206,1460.41,1.00875,0.49854,0.90535,0.99507,1,0.995,0.59445,1.50257,0.5431,1.01238,0.0011882,0.0011882,0.0011882
207,1467.22,1.05966,0.49618,0.91705,0.99521,1,0.995,0.63016,1.44363,0.54338,0.98891,0.00118424,0.00118424,0.00118424
208,1473.41,1.04687,0.49772,0.90104,0.99523,1,0.995,0.61459,1.49326,0.54216,0.99034,0.00118028,0.00118028,0.00118028
209,1479.02,0.99861,0.49003,0.91225,0.99512,1,0.995,0.60409,1.5259,0.54421,0.99878,0.00117632,0.00117632,0.00117632
210,1484.76,1.16828,0.57612,0.9735,0.99469,1,0.995,0.61448,1.45854,0.54647,0.9875,0.00117236,0.00117236,0.00117236
211,1490.99,1.02362,0.52711,0.94268,0.99466,1,0.995,0.60831,1.4991,0.54915,1.00026,0.0011684,0.0011684,0.0011684
212,1497.63,0.9892,0.49328,0.90918,0.9949,1,0.995,0.63257,1.43971,0.57662,0.98461,0.00116444,0.00116444,0.00116444
213,1503.27,1.04306,0.49539,0.9155,0.99519,1,0.995,0.62731,1.38662,0.56648,0.97793,0.00116048,0.00116048,0.00116048
214,1508.84,1.02602,0.49284,0.88374,0.99561,1,0.995,0.62067,1.48324,0.57282,1.00798,0.00115652,0.00115652,0.00115652
215,1514.58,1.02957,0.48787,0.90989,0.99547,1,0.995,0.60608,1.52127,0.57141,1.02518,0.00115256,0.00115256,0.00115256
216,1520.63,1.09036,0.52554,0.94376,0.9947,1,0.995,0.63378,1.39933,0.55524,0.98519,0.0011486,0.0011486,0.0011486
217,1527.1,0.99903,0.49836,0.91214,0.99428,1,0.995,0.64944,1.34484,0.53143,0.97091,0.00114464,0.00114464,0.00114464
218,1533.53,1.04199,0.52194,0.91033,0.98978,1,0.995,0.66434,1.337,0.5325,0.98011,0.00114068,0.00114068,0.00114068
