epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,364.901,1.33539,0.69577,1.02809,0.99234,1,0.995,0.58473,1.40058,0.6517,1.00101,0.00182972,0.00182972,0.00182972
45,372.177,1.22187,0.68222,0.95511,0.994,1,0.995,0.56491,1.44065,0.62887,1.0082,0.00182576,0.00182576,0.00182576
46,379.656,1.28496,0.69425,1.02587,0.99438,1,0.995,0.60584,1.35317,0.61284,0.98334,0.0018218,0.0018218,0.0018218
47,388.257,1.20009,0.66401,0.97146,0.99535,1,0.995,0.58667,1.4819,0.62467,1.0214,0.00181784,0.00181784,0.00181784
48,395.011,1.18857,0.69885,0.99784,0.99501,1,0.995,0.61496,1.4111,0.60594,1.00792,0.00181388,0.00181388,0.00181388
49,401.448,1.33335,0.68152,1.00697,0.99505,1,0.995,0.61802,1.40486,0.59878,1.00908,0.00180992,0.00180992,0.00180992
50,408.059,1.21449,0.64863,0.96127,0.99427,1,0.995,0.61071,1.39211,0.64977,1.00877,0.00180596,0.00180596,0.00180596
51,415.991,1.23231,0.6715,0.98544,0.99517,1,0.995,0.5882,1.475,0.64031,1.02001,0.001802,0.001802,0.001802
52,422.775,1.23682,0.67226,0.98488,0.99379,1,0.995,0.57407,1.52061,0.64251,1.03689,0.00179804,0.00179804,0.00179804
53,429.65,1.33434,0.7197,0.99311,0.99317,1,0.995,0.57894,1.49171,0.62516,1.02216,0.00179408,0.00179408,0.00179408
54,437.346,1.27741,0.69963,0.97799,0.99355,1,0.995,0.57821,1.42867,0.65432,1.00709,0.00179012,0.00179012,0.00179012
55,445.283,1.20588,0.67751,0.97182,0.99474,1,0.995,0.56683,1.47674,0.68974,1.02321,0.00178616,0.00178616,0.00178616
56,453.191,1.12846,0.63867,0.94879,0.99378,1,0.995,0.62093,1.3441,0.69212,0.99524,0.0017822,0.0017822,0.0017822
57,459.696,1.19034,0.67941,0.92843,0.99099,1,0.995,0.5979,1.35217,0.68713,1.00318,0.00177824,0.00177824,0.00177824
58,465.648,1.14102,0.63786,0.95034,0.99105,1,0.995,0.59159,1.36808,0.66994,1.00017,0.00177428,0.00177428,0.00177428
59,472.459,1.14937,0.66276,0.96089,0.99394,1,0.995,0.60021,1.4145,0.65188,0.99353,0.00177032,0.00177032,0.00177032
60,480.439,1.29857,0.67962,1.00383,0.99174,1,0.995,0.60873,1.36427,0.68628,0.98125,0.00176636,0.00176636,0.00176636
61,486.554,1.26818,0.65338,0.99833,0.99092,1,0.995,0.60192,1.31644,0.7309,0.97378,0.0017624,0.0017624,0.0017624
62,494.001,1.23136,0.6453,1.02348,0.99546,1,0.995,0.62031,1.35704,0.75011,0.98118,0.00175844,0.00175844,0.00175844
63,500.613,1.17211,0.6392,0.93739,0.99499,1,0.995,0.58702,1.42198,0.66764,1.0086,0.00175448,0.00175448,0.00175448
64,508.391,1.17734,0.67052,0.98096,0.99429,1,0.995,0.64112,1.29564,0.61609,0.97892,0.00175052,0.00175052,0.00175052
65,515.469,1.21259,0.65196,0.97396,0.99421,1,0.995,0.61672,1.36452,0.61225,0.98916,0.00174656,0.00174656,0.00174656
66,521.849,1.3043,0.68623,0.95665,0.99137,1,0.995,0.61382,1.42451,0.64912,0.99937,0.0017426,0.0017426,0.0017426
67,528.315,1.19934,0.65802,0.94292,0.99526,1,0.995,0.64166,1.38527,0.6239,0.98656,0.00173864,0.00173864,0.00173864
68,536.288,1.23303,0.65627,0.95605,0.9953,1,0.995,0.61265,1.39879,0.61495,0.98239,0.00173468,0.00173468,0.00173468
69,542.746,1.17161,0.64575,0.94889,0.99534,1,0.995,0.61992,1.39566,0.58757,0.98155,0.00173072,0.00173072,0.00173072
70,549.539,1.16384,0.63539,0.93575,0.99507,1,0.995,0.65248,1.30984,0.6064,0.97192,0.00172676,0.00172676,0.00172676
71,556.299,1.06929,0.58183,0.91264,0.99528,1,0.995,0.65907,1.32567,0.6048,0.97211,0.0017228,0.0017228,0.0017228
72,562.432,1.19935,0.65277,0.9399,0.99145,1,0.995,0.61777,1.43124,0.61552,0.98193,0.00171884,0.00171884,0.00171884
73,570.752,1.25455,0.59064,0.99547,0.99546,1,0.995,0.5929,1.46314,0.61174,0.99557,0.00171488,0.00171488,0.00171488
74,577.426,1.21781,0.60333,0.94119,0.99467,1,0.995,0.60426,1.41646,0.61364,0.99741,0.00171092,0.00171092,0.00171092
75,584.19,1.16414,0.59729,0.94089,0.99478,1,0.995,0.59968,1.41924,0.61464,1.00964,0.00170696,0.00170696,0.00170696
76,590.724,1.24416,0.62436,0.97128,0.99478,1,0.995,0.5232,1.67844,0.65176,1.09924,0.001703,0.001703,0.001703
77,598.766,1.1273,0.58772,0.98814,0.99439,1,0.995,0.51745,1.65033,0.61719,1.08581,0.00169904,0.00169904,0.00169904
78,605.789,1.25423,0.63753,0.94494,0.9948,1,0.995,0.5705,1.46727,0.54316,1.0349,0.00169508,0.00169508,0.00169508
79,613.101,1.32617,0.62504,0.96904,0.99457,1,0.995,0.6294,1.31036,0.57292,0.98116,0.00169112,0.00169112,0.00169112
